Produit,Flux,Date,Montant
MACHINES ELECTRIQUES; APPAREILS D'EMISSION-RECEPTION RADIO/TV,Importations,2010-01-01,13328960498.0
VEHICULES ET MATERIEL POUR VOIES FERREES; APPAREILS DE SIGNALISATION,Importations,2010-01-01,10117512.0
"VOITURES AUTOMOBILES ET AUTRES VEHICULES TERRESTRES; PARTIES, ACCESSOIRES",Importations,2010-01-01,13640784515.0
NAVIGATION AERIENNE OU SPATIALE,Importations,2010-01-01,649758.0
NAVIGATION MARITIME OU FLUVIALE,Importations,2010-01-01,5815317.0
"APPAREILS D'OPTIQUE, DE PRECISION, MEDICO-CHIRURGICAUX;PARTIES,ACCESSOIRES",Importations,2010-01-01,1333063421.0
HORLOGERIE,Importations,2010-01-01,31149232.0
INSTRUMENTS DE MUSIQUE; PARTIES ET ACCESSOIRES DE CES INSTRUMENTS,Importations,2010-01-01,2358721.0
"ARMES, MUNITIONS ET LEURS PARTIES ET ACCESSOIRES",Importations,2010-01-01,239048146.0
MEUBLES Y.C. MEDICAUX; APPAREILS D'ECLAIRAGE; CONSTRUCTIONS PREFABRIQUEES,Importations,2010-01-01,1644430087.0
"JOUETS, JEUX, ARTICLES DE DIVERTISSEMENTS OU SPORTS; PARTIES, ACCESSOIRES",Importations,2010-01-01,77767211.0
OUVRAGES DIVERS,Importations,2010-01-01,165388484.0
"OBJETS D'ART, DE COLLECTION OU D'ANTIQUITE",Importations,2010-01-01,3020170.0
ANIMAUX VIVANTS,Exportations,2010-02-01,14014730.0
VIANDES ET ABATS COMESTIBLES,Exportations,2010-02-01,34366612.0
"POISSONS ET CRUSTACES, MOLLUSQUES ET AUTRES INVERTEBRES AQUATIQUES",Exportations,2010-02-01,8616478717.0
LAIT; OEUFS D'OISEAUX; MIEL; PRODUITS COMESTIBLES D'ANIMAUX N.D.C.A.,Exportations,2010-02-01,381873569.0
"AUTRES PRODUITS D'ORIGINE ANIMALE, NON DENOMMES NI COMPRIS AILLEURS",Exportations,2010-02-01,
PLANTES VIVANTES ET PRODUITS DE LA FLORICULTURE,Exportations,2010-02-01,102376168.0
"LEGUMES, PLANTES, RACINES ET TUBERCULES ALIMENTAIRES",Exportations,2010-02-01,2763568995.0
FRUITS COMESTIBLES; ECORCES D'AGRUMES OU DE MELONS,Exportations,2010-02-01,202363453.0
"CAFE, THE, MATE ET EPICES",Exportations,2010-02-01,105000.0
CEREALES,Exportations,2010-02-01,1297085288.0
PRODUITS DE LA MINOTERIE;MALT;AMIDONS ET FECULES;INULINE;GLUTEN DE FROMENT,Exportations,2010-02-01,141614033.0
"OLEAGINEUX; GRAINES, SEMENCES; PLANTES INDUSTRIELLES, MEDICINALES; PAILLES",Exportations,2010-02-01,272786001.0
"GOMMES, RESINES ET AUTRES SUCS ET EXTRAITS VEGETAUX",Exportations,2010-02-01,39659629.0
MATIERES A TRESSER ET AUTRES PRODUITS D'ORIGINE VEGETALE N.D.C.A.,Exportations,2010-02-01,
"GRAISSES, HUILES, CIRES (ANIMALES ET VEGETALES); GRAISSES ALIMENTAIRES",Exportations,2010-02-01,2918935978.0
"PREPARATIONS DE VIANDES, POISSONS, CRUSTACES, MOLLUSQUES",Exportations,2010-02-01,35694576.0
SUCRES ET SUCRERIES,Exportations,2010-02-01,143008971.0
CACAO ET SES PREPARATIONS,Exportations,2010-02-01,85145598.0
PREPARATIONS A BASE DE CEREALES ET DERIVES; PATISSERIES,Exportations,2010-02-01,160090283.0
"PREPARATIONS DE LEGUMES, DE FRUITS OU D'AUTRES PARTIES DE PLANTES",Exportations,2010-02-01,1852240.0
PREPARATIONS ALIMENTAIRES DIVERSES,Exportations,2010-02-01,2872841362.0
"BOISSONS, LIQUIDES ALCOOLIQUES ET VINAIGRES",Exportations,2010-02-01,212695224.0
"RESIDUS,DECHETS DES INDUSTRIES ALIMENTAIRES;ALIMENTS PREPARES POUR ANIMAUX",Exportations,2010-02-01,129636958.0
TABACS ET SUCCEDANES DE TABACS FABRIQUES,Exportations,2010-02-01,4141036802.0
"SEL; SOUFRE; TERRES ET PIERRES; PLATRES, CHAUX ET CIMENTS",Exportations,2010-02-01,8245857425.0
"MINERAIS, SCORIES ET CENDRES",Exportations,2010-02-01,
"COMBUSTIBLES MINERAUX; HUILES, CIRES MINERALES; MATIERES BITUMINEUSES",Exportations,2010-02-01,9936737184.0
PRODUITS CHIMIQUES INORGANIQUES; COMPOSES DE METAUX OU RADIOACTIFS,Exportations,2010-02-01,5489464211.0
PRODUITS CHIMIQUES ORGANIQUES,Exportations,2010-02-01,68321409.0
PRODUITS PHARMACEUTIQUES,Exportations,2010-02-01,373535037.0
ENGRAIS,Exportations,2010-02-01,1116818340.0
EXTRAITS TANNANTS OU TINCTORIAUX;TANINS;COLORANTS;VERNIS;MASTICS;ENCRES,Exportations,2010-02-01,39744601.0
"HUILLES ESSENTIELLES, RESINOIDES; PRODUITS DE PARFURMERIE; COSMETIQUES",Exportations,2010-02-01,2123741825.0
"SAVONS, LUBRIFIANTS, CIRES ARTIFICIELLES, BOUGIES, CIRES DENTAIRES",Exportations,2010-02-01,571228979.0
MATIERES ALBUMINOIDES;PREPARATIONS A BASE D'AMIDONS OU FECULES;COLLES,Exportations,2010-02-01,231167549.0
"POUDRES,EXPLOSIFS;ARTICLES DE PYROTECHNIE;ALLUMETTES;MATIERES INFLAMMABLES",Exportations,2010-02-01,
PRODUITS PHOTOGRAPHIQUES OU CINEMATOGRAPHIQUES,Exportations,2010-02-01,2964568.0
PRODUITS DIVERS DES INDUSTRIES CHIMIQUES,Exportations,2010-02-01,420357598.0
MATIERES PLASTIQUES ET OUVRAGES EN CES MATIERES,Exportations,2010-02-01,1170646689.0
CAOUTCHOUC ET OUVRAGES EN CAOUTCHOUC,Exportations,2010-02-01,3524072.0
PEAUX (AUTRES QUE LES PELLETERIES) ET CUIRS,Exportations,2010-02-01,113212162.0
"OUVRAGES EN CUIR; ARTICLES DE BOURRELLERIE, SELLERIE, VOYAGE OU EN BOYAUX",Exportations,2010-02-01,6909037.0
PELLETERIES ET FOURRURES; PELLETERIES FACTICES,Exportations,2010-02-01,
"BOIS, CHARBON DE BOIS ET OUVRAGES EN BOIS",Exportations,2010-02-01,48673329.0
LIEGE ET OUVRAGES EN LIEGE,Exportations,2010-02-01,
OUVRAGES DE SPARTERIE OU DE VANNERIE,Exportations,2010-02-01,85487098.0
MATIERES CELLULOSIQUES SERVANT A LA FABRICATION DU PAPIER,Exportations,2010-02-01,
"PAPIERS ET CARTONS; OUVRAGES EN PATE DE CELLULOSE, EN PAPIER OU CARTON",Exportations,2010-02-01,447318546.0
"PRODUITS D'EDITION, PRESSE, ARTS GRAPHIQUES; MANUSCRITS, PLANS",Exportations,2010-02-01,35759424.0
SOIE,Exportations,2010-02-01,
"LAINE, POILS FINS OU GROSSIERS; FILS ET TISSUS DE CRIN",Exportations,2010-02-01,
COTON,Exportations,2010-02-01,1047543532.0
"AUTRES FIBRES TEXTILES VEGETALES;FILS DE PAPIER, TISSUS DE FILS DE PAPIER",Exportations,2010-02-01,
FILAMENTS SYNTHETIQUES OU ARTIFICIELS,Exportations,2010-02-01,52982189.0
FIBRES SYNTHETIQUES OU ARTIFICIELLES DISCONTINUES,Exportations,2010-02-01,41862268.0
"OUATES,FEUTRES,NON TISSES;FILS SPECIAUX;FICELLES,CORDES,CORDAGES;CORDERIE",Exportations,2010-02-01,
TAPIS ET AUTRES REVETEMENTS DE SOL EN MATIERES TEXTILES,Exportations,2010-02-01,
TISSUS SPECIAUX; DENTELLES; TAPISSERIES; PASSEMENTERIES; BRODERIES,Exportations,2010-02-01,
